Unix,Date,Symbol,Open,High,Low,Close,Volume XRP,Volume USDT,tradecount
1632355200000,2021-09-23,XRPUSDT,1.0033,1.017,0.9676,1.0016,409673892.0,406888652.8701,494376
1632441600000,2021-09-24,XRPUSDT,1.0016,1.0027,0.8858,0.944,605329486.0,566743451.816,679646
1632528000000,2021-09-25,XRPUSDT,0.9442,0.9577,0.9163,0.94,347043937.0,326093439.8415,373109
1632614400000,2021-09-26,XRPUSDT,0.9399,0.9567,0.8915,0.9436,384081774.0,356582690.4028,430585
1632700800000,2021-09-27,XRPUSDT,0.9436,0.9818,0.9194,0.9218,350234819.0,334311153.3625,400924
1632787200000,2021-09-28,XRPUSDT,0.9217,0.9431,0.8903,0.8928,313521537.0,289321906.2127,312017
1632873600000,2021-09-29,XRPUSDT,0.8928,0.9941,0.8861,0.9268,459660796.0,430499983.899,542812
1632960000000,2021-09-30,XRPUSDT,0.9266,0.964,0.9217,0.9533,332911904.0,314656116.1335,347699
1633046400000,2021-10-01,XRPUSDT,0.9535,1.0695,0.9443,1.0422,644378881.0,652127951.2652,937418
1633132800000,2021-10-02,XRPUSDT,1.0422,1.0733,1.0079,1.0359,398398944.0,413036443.6857,545451
1633219200000,2021-10-03,XRPUSDT,1.0359,1.0884,1.021,1.0552,410176280.0,433656250.1538,569147
1633305600000,2021-10-04,XRPUSDT,1.0552,1.0596,1.0059,1.0425,416467677.0,431530625.3531,497468
1633392000000,2021-10-05,XRPUSDT,1.0429,1.088,1.038,1.0839,429469278.0,456101439.3792,648561
1633478400000,2021-10-06,XRPUSDT,1.084,1.1081,1.0171,1.0765,509214129.0,543208784.6736,804618
1633564800000,2021-10-07,XRPUSDT,1.0766,1.0942,1.0423,1.0678,410868906.0,440046088.3941,559231
1633651200000,2021-10-08,XRPUSDT,1.0677,1.0927,1.0539,1.0636,335486636.0,359658964.0998,409482
1633737600000,2021-10-09,XRPUSDT,1.0636,1.2089,1.0565,1.1604,678027224.72,774368159.19448,1367053
1633824000000,2021-10-10,XRPUSDT,1.1604,1.23,1.1262,1.1352,647048690.0,763401930.315,1265003
1633910400000,2021-10-11,XRPUSDT,1.1352,1.182,1.1017,1.1364,429676031.0,493219103.8297,577925
1633996800000,2021-10-12,XRPUSDT,1.1363,1.1364,1.0634,1.1018,455399313.0,498806214.9117,648862
1634083200000,2021-10-13,XRPUSDT,1.1017,1.1387,1.075,1.1275,403291632.0,444999640.5,558957
1634169600000,2021-10-14,XRPUSDT,1.1277,1.16,1.1174,1.1336,353714419.0,400855761.5899,523592
1634256000000,2021-10-15,XRPUSDT,1.1335,1.1656,1.0914,1.1413,573654581.0,648102623.4315,762420
1634342400000,2021-10-16,XRPUSDT,1.1415,1.1869,1.13,1.1343,339530696.0,390396344.3135,522648
1634428800000,2021-10-17,XRPUSDT,1.1343,1.1407,1.0172,1.0944,384414867.0,422600928.3237,589139
1634515200000,2021-10-18,XRPUSDT,1.0943,1.1064,1.0642,1.0827,321174243.0,349574306.1556,461516
1634601600000,2021-10-19,XRPUSDT,1.0827,1.1009,1.0661,1.0911,235324664.0,255777828.0828,302779
1634688000000,2021-10-20,XRPUSDT,1.0911,1.1529,1.0868,1.1455,346122480.0,388488239.2722,627045
1634774400000,2021-10-21,XRPUSDT,1.1451,1.164,1.0851,1.0886,442288500.0,498949022.2723,725724
1634860800000,2021-10-22,XRPUSDT,1.0885,1.1288,1.0739,1.0885,333619107.0,366473886.8915,508180
1634947200000,2021-10-23,XRPUSDT,1.0885,1.1018,1.0763,1.0934,189644449.0,206632213.8513,265247
1635033600000,2021-10-24,XRPUSDT,1.0935,1.0961,1.0522,1.0821,234286648.0,253010407.2552,373923
1635120000000,2021-10-25,XRPUSDT,1.0821,1.1034,1.0778,1.0951,218666074.0,238965157.4406,299781
1635206400000,2021-10-26,XRPUSDT,1.0951,1.1606,1.0905,1.1075,439499263.0,491588833.5156,860622
1635292800000,2021-10-27,XRPUSDT,1.1076,1.1248,0.9483,0.995,914728059.0,948155132.437,1213205
1635379200000,2021-10-28,XRPUSDT,0.9951,1.0816,0.981,1.0579,686113717.0,714218398.5176,1044936
1635465600000,2021-10-29,XRPUSDT,1.058,1.0903,1.0409,1.0825,357777322.0,383066388.4638,520339
1635552000000,2021-10-30,XRPUSDT,1.0825,1.1169,1.0611,1.0846,372223050.0,403826768.1772,664712
1635638400000,2021-10-31,XRPUSDT,1.0845,1.1544,1.0689,1.1128,659007943.0,727992493.5445,1143479
1635724800000,2021-11-01,XRPUSDT,1.1128,1.1321,1.069,1.0915,381430430.0,417467396.2556,643669
1635811200000,2021-11-02,XRPUSDT,1.0916,1.1468,1.0851,1.1349,398377412.0,444398509.345,625969
1635897600000,2021-11-03,XRPUSDT,1.1348,1.2363,1.1255,1.2101,838803472.0,995581269.6626,1836581
1635984000000,2021-11-04,XRPUSDT,1.21,1.2574,1.1604,1.2004,553456246.0,666720493.3713,1205090
1636070400000,2021-11-05,XRPUSDT,1.2004,1.2015,1.1311,1.1581,318649692.0,372181223.325,561420
1636156800000,2021-11-06,XRPUSDT,1.1581,1.1828,1.1,1.151,260339849.0,297442023.9152,482403
1636243200000,2021-11-07,XRPUSDT,1.1511,1.2374,1.1451,1.2198,371235010.0,444359161.8766,746460
1636329600000,2021-11-08,XRPUSDT,1.2198,1.296,1.2192,1.2815,606055941.0,766012117.34615,1311350
1636416000000,2021-11-09,XRPUSDT,1.2815,1.2884,1.2245,1.2571,465127517.0,584938595.7314,786811
